hospital_id,state,district,city,hospital_name,latitude,longitude,total_beds,occupied_beds,available_beds,icu_beds,available_icu_beds,emergency_beds,available_emergency_beds,emergency_24x7,accepts_referral,ambulance,oxygen_support,ventilator,blood_bank,cardiology,neurology,nephrology,pulmonology,orthopedics,general_medicine,general_surgery,trauma_unit,burn_unit,ct_scan,mri,xray,ultrasound,ecg,dialysis,blood_test,cbc,troponin_test,dengue_ns1_test,malaria_test,blood_glucose_test,hba1c_test,kidney_function_test,pulmonary_function_test,blood_culture,lactate_test,stool_test
GH00001,Punjab,Mohali,Mohali,Integrated Mohali District Hospital,30.684526,76.790014,350,232,118,22,10,34,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GH00002,Punjab,Jalandhar,Jalandhar,Civil Jalandhar Hospital,31.273284,75.506608,130,76,54,9,1,11,2,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GH00003,Uttar Pradesh,Noida,Noida,Government Noida General Hospital,28.588098,77.368081,703,493,210,92,46,72,26,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
GH00004,Gujarat,Vadodara,Vadodara,State Vadodara Medical College Hospital,22.317004,73.224555,320,246,74,19,4,18,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes
GH00005,Rajasthan,Udaipur,Udaipur,District Udaipur General Hospital,24.54187,73.700837,649,387,262,95,24,36,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
GH00006,Rajasthan,Udaipur,Udaipur,Regional Udaipur Medical College Hospital,24.544129,73.740042,821,445,376,44,15,85,38,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No
GH00007,Uttar Pradesh,Kanpur,Kanpur,Civil Kanpur District Hospital,26.500656,80.340732,564,468,96,37,8,36,10,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
GH00008,Punjab,Jalandhar,Jalandhar,Integrated Jalandhar Medical College Hospital,31.365439,75.600141,646,448,198,42,9,44,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No
GH00009,Karnataka,Mysuru,Mysuru,Integrated Mysuru District Hospital,12.369979,76.695882,963,874,89,122,47,103,1,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No
GH00010,West Bengal,Siliguri,Siliguri,State Siliguri Hospital,26.774427,88.457701,316,303,13,43,12,20,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
GH00011,Gujarat,Rajkot,Rajkot,Government Rajkot District Hospital,22.294135,70.734753,242,152,90,30,7,24,6,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
GH00012,Rajasthan,Kota,Kota,State Kota Medical College Hospital,25.209555,75.812512,241,185,56,23,0,12,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
GH00013,Delhi,North Delhi,North Delhi,Integrated North Delhi General Hospital,28.639211,77.131781,710,387,323,62,2,61,31,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
GH00014,Punjab,Bathinda,Bathinda,Regional Bathinda District Hospital,30.263233,74.916708,887,771,116,74,19,71,7,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
GH00015,Bihar,Bhagalpur,Bhagalpur,Regional Bhagalpur Medical College Hospital,25.175957,87.016355,619,363,256,84,23,67,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
GH00016,Rajasthan,Jodhpur,Jodhpur,Government Jodhpur District Hospital,26.218879,72.990014,880,522,358,91,13,100,12,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GH00017,West Bengal,Siliguri,Siliguri,District Siliguri Hospital,26.740485,88.327738,471,459,12,69,16,31,9,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
GH00018,Rajasthan,Jaipur,Jaipur,District Jaipur General Hospital,26.876145,75.71632,935,502,433,138,1,96,40,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
GH00019,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,Government Tiruchirappalli District Hospital,10.831322,78.72395,640,630,10,59,24,73,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GH00020,Maharashtra,Nashik,Nashik,Integrated Nashik District Hospital,19.941804,73.732012,548,538,10,52,19,36,8,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No
GH00021,Bihar,Muzaffarpur,Muzaffarpur,Regional Muzaffarpur Medical College Hospital,26.069223,85.344496,107,57,50,12,6,10,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
GH00022,West Bengal,Kolkata,Kolkata,Regional Kolkata Medical College Hospital,22.578537,88.377795,385,363,22,37,2,22,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes
GH00023,Rajasthan,Kota,Kota,Government Kota General Hospital,25.161142,75.891783,926,671,255,63,26,89,23,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes
GH00024,Gujarat,Rajkot,Rajkot,Civil Rajkot Hospital,22.289795,70.778019,789,728,61,117,53,42,11,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
GH00025,Punjab,Ludhiana,Ludhiana,Government Ludhiana Medical College Hospital,30.858154,75.921232,649,553,96,41,16,45,16,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No
GH00026,Punjab,Amritsar,Amritsar,Regional Amritsar Hospital,31.577987,74.82898,151,144,7,20,9,17,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
GH00027,Delhi,East Delhi,East Delhi,Civil East Delhi General Hospital,28.697499,77.345391,318,261,57,44,17,24,6,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
